empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
3DPHARMA,1,4298,GPF - Proyecto Necesidades AWS,1,3472,2,1,640.0,0.0,22500.0,Esporádico,0.0,,0.0,Por Alcance,0.0,0.0,0.0
ADIUM,8,21380,Adium - CAM Soporte,1,33544,16,76,23358.0,1.0,321000.0,Stand by,28406.65,2026-03-02 09:50:07,26912.89,Por Alcance,0.0,0.0,0.0
ALMEXA,1,2457,Blackline -  Tasks y Recs,1,4240,2,22,320.0,0.0,22000.0,Stand by,158.0,2026-03-02 09:50:07,149.0,Por Alcance,0.0,0.0,0.0
ALPER SEGUROS,1,3658,Alper Soporte 40,1,4993,2,2,40.0,1.0,3600.0,Por Facturar,12.5,2026-03-16 00:00:00,12.5,Por Alcance,0.0,0.0,0.0
ARAUCO,1,3139,AR - Recs and Variance,0,4072,2,22,0.0,0.0,0.0,Permanente,751.5,2026-03-02 09:50:07,749.5,Por Alcance,0.0,0.0,0.0
ASEGURADORA DEL SUR,20,24641,APEX Soporte,1,420,32,63,876.0,1.0,42080.0,Stand by,10190.333333,2026-03-02 09:50:07,9267.833333,Por Alcance,2.0,0.0,0.0
ASESORIA Y CONTROL,3,5011,Cambios registro de horas,0,6636,6,7,84.0,0.0,950.0,Stand by,9.1,2026-03-02 09:50:07,9.1,Por Alcance,0.0,0.0,0.0
AUTOSHARE,1,5077,AutoShare_20horas,1,8512,2,1,20.0,0.0,1200.0,Esporádico,0.0,,0.0,Por Alcance,0.0,0.0,0.0
AVIS,2,1302,Presupuesto 2016,0,1104,3,4,0.0,0.0,0.0,Stand by,1040.0,2026-03-02 09:50:07,948.5,Por Alcance,0.0,0.0,0.0
BAC,3,13211,BAC - Diagnóstico + Training,2,14076,6,266,720.0,2.0,64820.0,Esporádico,194.7,2026-03-16 00:00:00,194.7,Por Alcance,0.0,0.0,0.0
BANCO DEL AUSTRO,1,4618,Proyecto Implementación BI Publisher,1,5474,2,1,280.0,1.0,14000.0,Esporádico,176.5,2026-03-16 00:00:00,176.5,Por Alcance,21.0,0.0,0.0
BANCO FINANCIERO,1,831,Presupuesto Financiero,0,1479,2,2,0.0,0.0,0.0,Stand by,279.5,2026-03-02 09:50:07,263.5,Por Alcance,0.0,0.0,0.0
