empresa,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado,empresa_raw,empresa_norm
3DPHARMA,4298,GPF - Proyecto Necesidades AWS,1,3472,2,1,640.0,,22500.0,Esporádico,,,,Por Alcance,,,,3dpharma,3DPHARMA
AVIS,364,Presupuesto Financiero,0,552,1,2,,0.0,,Stand by,672.0,2026-03-02 09:50:07,654.0,Por Alcance,,,,AVIS,AVIS
AVIS,938,Presupuesto 2016,0,552,2,2,,0.0,,Stand by,368.0,2026-03-02 09:50:07,294.5,Por Alcance,,,,AVIS,AVIS
ADIUM,2458,Soporte Filiales,0,4193,2,2,1440.0,0.0,,Permanente,5256.48,2026-03-02 09:50:07,4945.33,Por Alcance,,,,Adium,ADIUM
ADIUM,2397,Rollout Mexico,0,4193,2,2,415.0,0.0,,Stand by,1159.0,2026-03-02 09:50:07,984.0,Por Alcance,,,,Adium,ADIUM
ADIUM,2557,Rollout CO,0,4193,2,2,,0.0,,Stand by,463.0,2026-03-02 09:50:07,460.5,Por Alcance,,,,Adium,ADIUM
ADIUM,2797,Rollout EC,0,4193,2,2,500.0,0.0,,Stand by,555.95,2026-03-02 09:50:07,498.45,Por Alcance,,,,Adium,ADIUM
ADIUM,2459,Rollout CAM,0,4193,2,2,753.0,0.0,,Stand by,850.25,2026-03-02 09:50:07,798.25,Por Alcance,,,,Adium,ADIUM
ADIUM,2617,Adium - CAM Soporte,0,4193,2,2,,0.0,,Stand by,319.25,2026-03-02 09:50:07,301.25,Por Alcance,,,,Adium,ADIUM
ADIUM,3058,Adium Soporte,1,4193,2,62,20000.0,1.0,321000.0,Permanente,19790.72,2026-03-16 00:00:00,18913.11,Por Alcance,,,,Adium,ADIUM
ADIUM,3037,Rollout Argentina,0,4193,2,2,250.0,0.0,,Esporádico,12.0,2026-03-02 09:50:07,12.0,Por Alcance,,,,Adium,ADIUM
ALMEXA,2457,Blackline -  Tasks y Recs,1,4240,2,22,320.0,,22000.0,Stand by,158.0,2026-03-02 09:50:07,149.0,Por Alcance,,,,Almexa,ALMEXA
ALPER SEGUROS,3658,Alper Soporte 40,1,4993,2,2,40.0,1.0,3600.0,Por Facturar,12.5,2026-03-16 00:00:00,12.5,Por Alcance,,,,Alper Seguros,ALPER SEGUROS
