empresa_norm,n_rows,lead_source_norm,industry_norm,interes_norm,cargo_norm,pais_norm,no_of_employees,annual_revenue
7 ELEVEN MEXICO,1,,,ADAPTIVE,SISTEMAS COMERCIALES TI,,0.0,0.0
ABBOTT,1,,,ADAPTIVE,FINANCE CONTROLLER,,0.0,0.0
ABBVIE,1,,,ADAPTIVE,CFO FINANCE DIRECTOR,,0.0,0.0
ACCO BRANDS,1,,,ADAPTIVE,GLOBAL IT OPERATIONAL EXCELLENCE DIRECTOR,,0.0,0.0
ACH FOOD COMPANIES INC,1,,,ADAPTIVE,SENIOR OPERATIONS MANAGER,,0.0,0.0
ACTINVER,1,,,ADAPTIVE,CEO AMP,,0.0,0.0
ADAMANTINE,1,,,ADAPTIVE,CONTADOR,,0.0,0.0
AFP GENESIS,1,,,ADAPTIVE,CONTADOR GENERAL,,0.0,0.0
AIG,4,,,ADAPTIVE,,,0.0,0.0
AKROS,1,,,ADAPTIVE,GERENTE FINANCIERO,,0.0,0.0
ALCIONE MX,1,,,ADAPTIVE,ENCARGADO DE FINANZAS EN TI,,0.0,0.0
ALIMENTOSALCONSUMIDOR,1,,MANUFACTURA,ADAPTIVE,,COLOMBIA,0.0,0.0
ALLIANZ MEXICO,2,,,ADAPTIVE,,,0.0,0.0
ALPEZZI CHOCOLATE,1,,,ADAPTIVE,GERENTE DE PLANEACION FINANCIERA Y COSTOS,,0.0,0.0
ALPINA,1,,,ADAPTIVE,,,0.0,0.0
ALVAREZ BARBA S A,1,,,ADAPTIVE,JEFE DE CONTABILIDAD,,0.0,0.0
AMBROSIA,1,,,ADAPTIVE,CHIEF OPERATING OFFICER AMBROSIA,,0.0,0.0
ANHEUSER BUSCH INBEV,3,WEB,,ADAPTIVE,FP A VLC VIC MANAGER,,0.0,0.0
APOTEX,1,,,ADAPTIVE,LATAM FINANCE DIRECTOR,,0.0,0.0
ARCA CONTINENTAL,1,WEB,,ADAPTIVE,DIRECTOR EJECUTIVO,,0.0,0.0
ARCOR,1,,RETAIL,ADAPTIVE,,PERU,0.0,0.0
ASAP TESTING,1,WEB,,ADAPTIVE,MANAGING DIRECTOR,,0.0,0.0
ASIAUTO S A KIA MOTORS ECUADOR,1,,,ADAPTIVE,GERENTE FINANCIERO,,0.0,0.0
