empresa,lead_source,industry,no_of_employees,annual_revenue,interes,cargo,pais,empresa_norm,lead_source_norm,industry_norm,interes_norm,cargo_norm,pais_norm
GAMEPLANET S.A. DE C.V.,,,,,Adaptive,Gerente General,,GAMEPLANET S A DE C V,,,ADAPTIVE,GERENTE GENERAL,
ALCIONE MX,,,,,Adaptive,Encargado de Finanzas en TI,,ALCIONE MX,,,ADAPTIVE,ENCARGADO DE FINANZAS EN TI,
ASTRAZENECA,,,,,Adaptive,Country Controller,,ASTRAZENECA,,,ADAPTIVE,COUNTRY CONTROLLER,
FARMACIAS DEL AHORRO,,,,,Adaptive,Director del Centro de Servicios Compartidos,,FARMACIAS DEL AHORRO,,,ADAPTIVE,DIRECTOR DEL CENTRO DE SERVICIOS COMPARTIDOS,
SANOFI,,,,,Adaptive,FP&A Manager,,SANOFI,,,ADAPTIVE,FP A MANAGER,
SMI,,,,,Adaptive,Director General,,SMI,,,ADAPTIVE,DIRECTOR GENERAL,
DHL EXPRESS MÉXICO,,,,,Adaptive,Senior Operations Director,,DHL EXPRESS MEXICO,,,ADAPTIVE,SENIOR OPERATIONS DIRECTOR,
ARCA CONTINENTAL,web,,,,Adaptive,Director Ejecutivo,,ARCA CONTINENTAL,WEB,,ADAPTIVE,DIRECTOR EJECUTIVO,
PRIMERO SEGUROS,,,,,Adaptive,CEO,,PRIMERO SEGUROS,,,ADAPTIVE,CEO,
BACARDI,,,,,Adaptive,FP&A Regional Director Latan América & Caribbean,,BACARDI,,,ADAPTIVE,FP A REGIONAL DIRECTOR LATAN AMERICA CARIBBEAN,
GEFCO,,,,,Adaptive,Director General,,GEFCO,,,ADAPTIVE,DIRECTOR GENERAL,
BRINSA S.A.,,,,,Adaptive,Coordinador Planeacion Financiera,,BRINSA S A,,,ADAPTIVE,COORDINADOR PLANEACION FINANCIERA,
RAPPI,,,,,Adaptive,Country Manager en Rappi Mexico,,RAPPI,,,ADAPTIVE,COUNTRY MANAGER EN RAPPI MEXICO,
GNP SEGUROS,,,,,Adaptive,,,GNP SEGUROS,,,ADAPTIVE,,
Coppel,,Retail,,,Adaptive,,México,COPPEL,,RETAIL,ADAPTIVE,,MEXICO
CARNOT LABORATORIOS,web,,,,Adaptive,Especialista de Planeación Financiera,,CARNOT LABORATORIOS,WEB,,ADAPTIVE,ESPECIALISTA DE PLANEACION FINANCIERA,
KLASSCO,,,,,Adaptive,Financial Planning Specialist,,KLASSCO,,,ADAPTIVE,FINANCIAL PLANNING SPECIALIST,
MARSH,,,,,Adaptive,Strategic Planning &amp,,MARSH,,,ADAPTIVE,STRATEGIC PLANNING AMP,
FARMACIAS BENAVIDES,,,,,Adaptive,,,FARMACIAS BENAVIDES,,,ADAPTIVE,,
Fiduciaria de Occidente,,,,,Adaptive,Gerente Contable,,FIDUCIARIA DE OCCIDENTE,,,ADAPTIVE,GERENTE CONTABLE,
PELÍCULAS PLÁSTICAS,,,,,Adaptive,,,PELICULAS PLASTICAS,,,ADAPTIVE,,
